Title,launched_at,titleyear,usd_pledged,MinAge,log_playtime,AvgWeight
5-Minute Dungeon,1478012409,5-Minute Dungeon (2017),289542.237847825,8,3.4011973816621555,1.1
Tiny Epic Kingdoms,1389288651,Tiny Epic Kingdoms (2014),286972.36,13,3.8066624897703196,2.0708
Unfair,1471345607,Unfair (2017),284846,14,4.8283137373023015,2.6667
Lisboa,1479225234,Lisboa (2017),277597.5,12,4.787491742782046,3.8667
Sails of Glory,1362470087,Sails of Glory (2013),276745,13,3.8066624897703196,2.9
Shadows over Normandie,1404399917,Shadows over Normandie (2015),276427.1004194966,14,4.499809670330265,2.625
Empires of the Void II,1488211030,Empires of the Void II (2017),275400,13,5.19295685089021,3
The Agents,1373379013,The Agents (2013),275368.09,8,3.6888794541139363,2.369
Too Many Bones,1455645788,Too Many Bones (2017),270290,12,4.787491742782046,3.8571
Vinhos Deluxe Edition,1454047078,Vinhos Deluxe Edition (2016),268801.94,14,4.90527477843843,3.9423
Feudum,1478757601,Feudum (2017),263852.4,12,5.19295685089021,4
Project: ELITE,1430333568,Project: ELITE (2016),254157.01,12,3.4011973816621555,2.3158
Mutant Chronicles Warzone Resurrection,1360885414,Mutant Chronicles Warzone Resurrection (2013),253829.1506425248,10,4.787491742782046,3.3333
Orléans: Deluxe Edition,1421086881,Orléans: Deluxe Edition (2015),251468,12,4.499809670330265,3.1538
Millennium Blades,1429286425,Millennium Blades (2016),249789,12,4.787491742782046,3.6481
XenoShyft: Onslaught,1401914191,XenoShyft: Onslaught (2015),242832,13,4.0943445622221,2.7143
Nemo's War (second edition),1451415455,Nemo's War (second edition) (2017),239918,13,4.787491742782046,2.4
Pillars of Eternity: Lords of the Eastern Reach,1432832536,Pillars of Eternity: Lords of the Eastern Reach (2016),239178.53,13,4.787491742782046,2.2857
Vikings Gone Wild,1463673368,Vikings Gone Wild (2017),236949,10,4.499809670330265,2.2222
Burgle Bros.,1425594975,Burgle Bros. (2015),228526.92,12,4.499809670330265,2.2936
Arena Rex,1363323704,Arena Rex (2013),226542,12,3.4011973816621555,2
Heroes of Normandie,1362777260,Heroes of Normandie (2014),225748.08732828,14,4.0943445622221,2.7034
Battlestations: Second Edition,1454436283,Battlestations: Second Edition (2017),222572.52,12,5.480638923341991,3
Between Two Cities,1424878178,Between Two Cities (2015),221265.07,8,2.995732273553991,1.8036
Karmaka,1453214883,Karmaka (2016),220852.58,13,4.0943445622221,1.8889
Villages of Valeria,1454427981,Villages of Valeria (2016),214053,14,4.0943445622221,2.28
Explorers of the North Sea,1454490008,Explorers of the North Sea (2016),212159.357900088,12,4.0943445622221,2.0833
Fate of the Elder Gods,1468940411,Fate of the Elder Gods (2017),211447,13,4.499809670330265,3
Steampunk Rally,1414409856,Steampunk Rally (2015),211132.5323151,14,4.0943445622221,2.5035
Fireteam Zero,1416607277,Fireteam Zero (2015),207115,14,4.499809670330265,2.6429
King Down,1410357774,King Down (2015),205958.64,8,3.4011973816621555,2.6667
The Red Dragon Inn 5,1424181380,The Red Dragon Inn 5 (2015),202811,13,4.0943445622221,2.1111
Endure the Stars,1446915515,Endure the Stars (2017),198674.91294112,13,5.19295685089021,2.6
Dark Darker Darkest,1370961759,Dark Darker Darkest (2013),198232.71,12,4.787491742782046,3.2063
Serpent's Tongue,1333514682,Serpent's Tongue (2013),195101.65,12,3.4011973816621555,3.6552
Legendary Showdown: Machines and Magic,1424271738,Legendary Showdown: Machines and Magic (2015),194998.55,12,4.0943445622221,1
Aeon's End,1459860337,Aeon's End (2016),189714.7,14,4.0943445622221,2.825
A Study in Emerald,1366834347,A Study in Emerald (2013),189596.65999615,13,4.499809670330265,3.4338
Kharnage,1458846015,Kharnage (2016),189200.7734332872,7,3.4011973816621555,1.5714
Vengeance,1473182469,Vengeance (2017),182275,14,4.787491742782046,2
Spaceteam,1442988045,Spaceteam (2015),181625,10,1.6094379124341003,1.0769
Galaxy Defenders,1366106433,Galaxy Defenders (2014),180252.91,12,4.787491742782046,3.1413
Tanto Cuore: Oktoberfest,1408049921,Tanto Cuore: Oktoberfest (2016),173679,13,3.8066624897703196,2.1667
D-Day Dice,1319949042,D-Day Dice (2012),171805.27,14,3.8066624897703196,2.0573
Rise of the Kage,1410030136,Rise of the Kage (2015),171547.040438326,13,4.0943445622221,3.2222
Dungeon Dice,1399954101,Dungeon Dice (2014),167150.5,8,2.995732273553991,2.0732
Epic PVP: Fantasy,1421866961,Epic PVP: Fantasy (2015),163118.84,10,2.995732273553991,2.12
Tiny Epic Defenders,1403184125,Tiny Epic Defenders (2015),162372,13,3.4011973816621555,1.7816
Infamy,1405018832,Infamy (2013),162238.971756485,13,4.0943445622221,2.8919
Kingdom Builder: Big Box,1392176351,Kingdom Builder: Big Box (2014),159804,8,3.8066624897703196,2.4286
The Banner Saga: Warbands,1447354744,The Banner Saga: Warbands (2016),158360,13,4.499809670330265,2.5
Guild Ball,1392930042,Guild Ball (2015),156296.81426667,12,4.0943445622221,3.4
One Night Ultimate Werewolf Daybreak,1411998217,One Night Ultimate Werewolf Daybreak (2015),151631.59,8,2.302585092994046,1.4478
Vast: The Crystal Caverns,1440435528,Vast: The Crystal Caverns (2016),148766,10,4.31748811353631,3.119
Mech Command RTS,1468947039,Mech Command RTS (2017),148157.52,11,3.6888794541139363,3
Lagoon: Land of Druids,1391187653,Lagoon: Land of Druids (2014),147762.02,12,4.0943445622221,2.7286
Space Cadets: Away Missions,1421858897,Space Cadets: Away Missions (2015),146296,10,4.787491742782046,2.5556
War & Pieces,1473869442,War & Pieces (2016),143873.97,5,3.4011973816621555,1
Harbour,1402932117,Harbour (2015),143498.65,8,4.0943445622221,2.0676
Machina Arcana,1384873200,Machina Arcana (2014),142790.02,13,5.0106352940962555,3.1111
Above and Below,1425319758,Above and Below (2015),142148,13,4.499809670330265,2.5579
Mr. Card Game,1348108268,Mr. Card Game (2014),142002.85,13,4.0943445622221,2.5625
Zombie 15',1389741336,Zombie 15' (2014),141203,14,2.70805020110221,2.25
Burning Suns,1377109585,Burning Suns (2013),140104.93326032,14,4.382026634673881,3.6364
Mistfall: Heart of the Mists,1462888664,Mistfall: Heart of the Mists (2016),139934,14,4.787491742782046,3.8571
Fairytale Games: The Battle Royale,1370273321,Fairytale Games: The Battle Royale (2014),139658.11,13,3.4011973816621555,3.3333
Teramyyd: Earthsphere,1363312396,Teramyyd: Earthsphere (2014),139243.64,8,4.499809670330265,3
Fields of Green,1470839210,Fields of Green (2016),139229.52,12,3.8066624897703196,2.5263
Argent: The Consortium,1385080934,Argent: The Consortium (2015),138708.57,10,5.0106352940962555,3.7917
Ultimate Werewolf: Deluxe Edition,1389098611,Ultimate Werewolf: Deluxe Edition (2014),137973,8,3.4011973816621555,1.5909
Chaosmos,1388703464,Chaosmos (2015),136361.6,12,4.499809670330265,2.6842
Petrichor,1491954028,Petrichor (2017),135449,14,4.382026634673881,3
Escape Room In A Box: The Werewolf Experiment,1454518915,Escape Room In A Box: The Werewolf Experiment (2016),135429,13,4.499809670330265,2.5
Mistfall,1425998382,Mistfall (2015),134348,14,4.787491742782046,3.8356
The Red Dragon Inn 6: Villains,1479232623,The Red Dragon Inn 6: Villains (2017),130815,13,4.0943445622221,2
Galaxy of Trian,1408652013,Galaxy of Trian (2014),130395,10,3.8066624897703196,2.5405
Japanese: The Game,1388699347,Japanese: The Game (2014),128808.51,12,2.302585092994046,2.3333
Planetarium,1465920103,Planetarium (2017),126815,10,3.8066624897703196,2.1538
Sherman Leader,1481929427,Sherman Leader (2017),125945,12,4.0943445622221,3
Evolution,1399262916,Evolution (2014),124316.55,12,4.248495242049359,2.4578
The Doom That Came To Atlantic City,1336388469,The Doom That Came To Atlantic City (2014),122874.17,15,3.8066624897703196,1.85
The Pirate Republic,1487688730,The Pirate Republic (2017),122158,14,4.499809670330265,3
Guardians' Chronicles,1366350498,Guardians' Chronicles (2014),120571.02,14,4.31748811353631,2.8333
Thief's Market,1453822780,Thief's Market (2016),120333,10,3.912023005428146,1.7857
Raiders of the North Sea,1427713188,Raiders of the North Sea (2015),118624.90509987,12,4.382026634673881,2.58
Gloom of Kilforth: A Fantasy Quest Game,1440716499,Gloom of Kilforth: A Fantasy Quest Game (2017),118135.67686731,13,5.19295685089021,2.6
Fresco: Big Box,1389308433,Fresco: Big Box (2014),117522,10,4.0943445622221,2.8387
Guilds of Cadwallon,1354749053,Guilds of Cadwallon (2013),116938,10,3.4011973816621555,1.8125
Ground Floor,1334065843,Ground Floor (2012),116894.7,12,5.0106352940962555,3.7012
The Captain Is Dead,1402613999,The Captain Is Dead (2014),114228.01,12,4.499809670330265,2.425
Fallen,1371885037,Fallen (2014),113594.08,14,4.499809670330265,3.0526
Secrets of the Lost Tomb,1385416790,Secrets of the Lost Tomb (2015),111889,13,4.0943445622221,3.25
Dr. McNinja's Legendary Showdown,1382553141,Dr. McNinja's Legendary Showdown (2014),111661.04,12,3.4011973816621555,1.7778
Eminent Domain: Battlecruisers,1433432578,Eminent Domain: Battlecruisers (2016),110319,13,3.4011973816621555,2
Fallen Frontiers,1415991837,Fallen Frontiers (2015),109578,13,4.0943445622221,3
The Great War,1423239707,The Great War (2015),109428.1801661,10,4.0943445622221,2.5556
New Bedford,1437490836,New Bedford (2016),109343,12,4.31748811353631,2.3182
The Red Dragon Inn: Battle for Greyport,1456862422,The Red Dragon Inn: Battle for Greyport (2016),108747.8,12,4.605170185988092,3
Among the Stars: Revival,1422351596,Among the Stars: Revival (2015),108392.1,12,3.4011973816621555,2.3636
New Dawn,1403911886,New Dawn (2014),107724.3,12,4.787491742782046,3.0303
Dungeon Alliance,1486400287,Dungeon Alliance (2017),107402,12,5.19295685089021,3.3333
Lancaster: Big Box,1419008328,Lancaster: Big Box (2015),106088,10,4.0943445622221,3.2
Forge War,1401984918,Forge War (2015),105965,12,5.19295685089021,3.7391
Tau Ceti: Planetary Crisis,1457449243,Tau Ceti: Planetary Crisis (2017),105673,14,4.787491742782046,2.6667
BATTALIA: The Creation,1435070133,BATTALIA: The Creation (2015),104884,13,5.19295685089021,3.4107
Yashima: Legend of the Kami Masters,1410290804,Yashima: Legend of the Kami Masters (2015),104101.5,14,4.499809670330265,2.6875
Saloon Tycoon,1455810587,Saloon Tycoon (2016),104001.42,12,4.0943445622221,2.2857
Drinking Quest: Journey into Draught,1456751380,Drinking Quest: Journey into Draught (2016),103898.5749044848,21,4.499809670330265,1.25
Henchmania,1469732375,Henchmania (2016),103759.7137027056,12,4.0943445622221,2
Alien Uprising,1378127049,Alien Uprising (2014),103494,13,4.499809670330265,3.1667
Salem,1427321572,Salem (2016),103347,12,4.499809670330265,2.75
Salem,1427321572,Salem (2015),103347,12,3.5553480614894135,1.7143
The Networks,1441123219,The Networks (2016),103297.66,13,4.499809670330265,2.4722
Taluva Deluxe,1417594642,Taluva Deluxe (2015),103114.5,8,3.8066624897703196,3
Two Rooms and a Boom,1383055231,Two Rooms and a Boom (2013),102102.58,8,2.70805020110221,1.4216
Airborne In Your Pocket,1343676398,Airborne In Your Pocket (2012),102010,10,2.70805020110221,1
The World of Smog: On Her Majesty's Service,1414695636,The World of Smog: On Her Majesty's Service (2015),101351,14,4.0943445622221,2.5143
Kodama: The Tree Spirits,1444741139,Kodama: The Tree Spirits (2016),99380,14,3.6888794541139363,1.5476
"Run, Fight, or Die!",1381684073,"Run, Fight, or Die! (2014)",99310.61,13,3.6888794541139363,1.9647
Pandemonium,1445525784,Pandemonium (2017),98813,14,4.787491742782046,2.6
Knot Dice,1427979621,Knot Dice (2016),97197.11,5,2.995732273553991,2
Draco Magi,1390846228,Draco Magi (2014),95564,12,3.4011973816621555,2.0909
Progress: Evolution of Technology,1401803705,Progress: Evolution of Technology (2014),95031.1,12,4.499809670330265,2.4194
Saltlands,1461664618,Saltlands (2016),94245.78205728,12,4.787491742782046,2.8571
Storm the Castle!,1350775018,Storm the Castle! (2013),94226,8,4.499809670330265,3.3636
Dwarves in Trouble,1468951149,Dwarves in Trouble (2016),93961,8,3.6888794541139363,1
Nothing Personal,1351540833,Nothing Personal (2013),93157.01,8,4.787491742782046,2.7525
Dawn of the Zeds (Third edition),1434654113,Dawn of the Zeds (Third edition) (2016),93051,13,5.19295685089021,3.7083
Way of the Fighter,1480363279,Way of the Fighter (2017),91905.53,12,3.912023005428146,3.5
Innovation Deluxe,1443636058,Innovation Deluxe (2017),91769.91,14,4.0943445622221,2.5
Dark Dealings,1434113837,Dark Dealings (2016),91549.5,12,2.995732273553991,1.8
The Manhattan Project: Energy Empire,1457451554,The Manhattan Project: Energy Empire (2016),91411.47,13,4.787491742782046,3.1628
Scoville,1439302118,Scoville (2014),91087.8,13,4.499809670330265,2.8
The King's Armory,1382949667,The King's Armory (2015),90389.01,13,5.480638923341991,3.1765
Abandon Planet,1479190295,Abandon Planet (2017),90114,12,4.382026634673881,2
Dungeon Crusade,1463969027,Dungeon Crusade (2017),89870.52,10,5.480638923341991,4
Mint Works,1471363221,Mint Works (2017),89165,13,2.995732273553991,1.6667
Ion: A Compound Building Game,1428487585,Ion: A Compound Building Game (2015),89079.53,8,3.6888794541139363,1.3636
Islebound,1446476250,Islebound (2016),88270,13,4.787491742782046,2.9333
Simurgh,1448380321,Simurgh (2015),88046.54,12,4.499809670330265,2.9091
Dragoon,1424840616,Dragoon (2016),88020.01,13,4.0943445622221,2.2222
Brew Crafters,1382711065,Brew Crafters (2013),87991,12,4.499809670330265,3.5739
Hegemonic,1356547543,Hegemonic (2013),87844.91,13,5.19295685089021,3.6531
Spirits of the Rice Paddy,1420775105,Spirits of the Rice Paddy (2015),87375,13,4.499809670330265,3.1111
Giga-Robo!,1467817255,Giga-Robo! (2017),87319,12,4.499809670330265,3
The Red Dragon Inn 4,1367453958,The Red Dragon Inn 4 (2013),86474.5,13,4.0943445622221,1.7
Quests of Valeria,1461682569,Quests of Valeria (2017),85563,14,3.8066624897703196,1.8
Gunship: First Strike!,1329274595,Gunship: First Strike! (2013),84786.03,13,3.4011973816621555,2.4167
WarQuest,1430833983,WarQuest (2016),84506,14,4.787491742782046,3
Ave Roma,1462269516,Ave Roma (2016),84302.18926932,12,4.787491742782046,3.6875
Spirit Island,1442934050,Spirit Island (2017),84176,13,4.787491742782046,3.6667
Defenders of the Last Stand,1431616099,Defenders of the Last Stand (2016),84047,14,4.787491742782046,2.5714
The King's Abbey,1428502004,The King's Abbey (2016),84021,12,5.19295685089021,3.2333
Castles,1398737820,Castles (2014),83573.49,10,3.4011973816621555,2
Defense Grid: The Board Game,1484622038,Defense Grid: The Board Game (2017),83492,13,4.787491742782046,3
The Gallerist,1434634375,The Gallerist (2015),83212,13,5.0106352940962555,4.2682
Heroes Wanted,1422365741,Heroes Wanted (2014),82935,13,3.8066624897703196,2.5676
Crimson Creek,1444833042,Crimson Creek (2016),82704,16,4.499809670330265,2.625
Mobile Frame Zero: Rapid Attack,1330960143,Mobile Frame Zero: Rapid Attack (2012),82499.83,10,5.0106352940962555,2.5
Stockpile,1459339263,Stockpile (2015),81371,13,3.8066624897703196,2.0865
King's Forge,1375370175,King's Forge (2014),80820.43,14,4.0943445622221,2.3
Perdition's Mouth: Abyssal Rift,1447254019,Perdition's Mouth: Abyssal Rift (2016),80341,10,5.19295685089021,3.6923
Victory in Europe,1396655131,Victory in Europe (2015),79484.6,12,5.19295685089021,3.2778
Virus,1462458792,Virus (2016),79262.89579625,14,4.787491742782046,3.25
Camp Grizzly,1382986716,Camp Grizzly (2013),78664,18,4.0943445622221,2.087
IKI,1436541695,IKI (2015),78046,14,4.499809670330265,2.9348
Get Lucky,1382122902,Get Lucky (2014),78032.31,12,2.995732273553991,1.6129
Campy Creatures,1486479685,Campy Creatures (2017),77886,10,3.4011973816621555,1.5
18OE: On the Rails of the Orient Express,1371471447,18OE: On the Rails of the Orient Express (2014),77676,14,6.579251212010101,4.6
Galactic Strike Force,1366124367,Galactic Strike Force (2014),77124.36,13,4.0943445622221,3.24
V-Commandos,1416326324,V-Commandos (2016),77095.71013872,12,5.19295685089021,2.75
Shadowstar Corsairs,1429626168,Shadowstar Corsairs (2016),76118.99,13,5.0106352940962555,3.1667
Slap .45,1408375397,Slap .45 (2015),75641.66,8,2.995732273553991,1.3333
Disaster Looms!,1335553261,Disaster Looms! (2012),75098.97,10,4.499809670330265,3.1333
Ravingspire,1459252841,Ravingspire (2016),74858,12,5.480638923341991,2.4286
Days of Ire: Budapest 1956,1464786987,Days of Ire: Budapest 1956 (2016),74784,10,4.499809670330265,2.9444
Allegiance: A Realm Divided,1395858203,Allegiance: A Realm Divided (2015),74656.09019874,10,4.0943445622221,2.95
Historia,1403017175,Historia (2014),74635.5,14,5.19295685089021,3.1212
Sector 6,1481648270,Sector 6 (2017),74570,8,4.0943445622221,2.1667
Vanuatu (second edition),1462259855,Vanuatu (second edition) (2016),74029.58715053,12,4.499809670330265,3.45
March of the Ants,1398785965,March of the Ants (2015),73621,13,4.248495242049359,2.6275
Control,1453217944,Control (2016),73615,10,2.70805020110221,1.6
The Exiled: Siege,1451332846,The Exiled: Siege (2016),73184,14,4.787491742782046,2.75
Dale of Merchants 2,1462193995,Dale of Merchants 2 (2016),72369,10,3.6888794541139363,2.1429
Walk the Plank!,1363169006,Walk the Plank! (2013),72301.54,6,2.995732273553991,1.2564
Peak Oil,1491407795,Peak Oil (2017),72223.2,8,4.31748811353631,2.6667
Dead Man's Draw,1451909253,Dead Man's Draw (2015),71591,13,2.70805020110221,1.3509
Privateer,1384617645,Privateer (2016),70846,9,3.8066624897703196,2.4286
AquaSphere,1405961982,AquaSphere (2014),70506.11,12,4.605170185988092,3.6667
Dead Men Tell No Tales,1408448899,Dead Men Tell No Tales (2015),68918,13,4.31748811353631,2.4074
RUM,1450180804,RUM (2016),68031.87187849,10,2.995732273553991,2
Torn Armor,1362286156,Torn Armor (2013),67742,13,3.4011973816621555,2
World Monuments,1456329348,World Monuments (2016),67552,8,3.8066624897703196,1.4
Tomorrow,1354848203,Tomorrow (2013),66820.47,18,4.499809670330265,2.6957
Dragon Slayer,1398096572,Dragon Slayer (2014),66740.92,14,2.70805020110221,1.0854
Dogs of War,1398455372,Dogs of War (2014),66703,14,4.31748811353631,2.6667
"...and then, we held hands.",1442520481,"...and then, we held hands. (2015)",66446,12,3.8066624897703196,1.75
Fallen City of Karez,1346851559,Fallen City of Karez (2012),66087,12,4.787491742782046,3.0345
Viticulture,1345779846,Viticulture (2013),65980.72,13,4.499809670330265,2.9328
Gruff,1430489008,Gruff (2015),65465.66,11,3.8066624897703196,3
Vault Wars,1425571245,Vault Wars (2015),65449,13,4.0943445622221,2.0882
Campaign Trail,1462285626,Campaign Trail (2017),65257.5,12,4.787491742782046,2.25
Coin Age,1386608870,Coin Age (2013),65195.42,8,2.70805020110221,1.3193
Dingo's Dreams,1439218676,Dingo's Dreams (2016),64285,8,3.4011973816621555,1.1538
Heavy Steam,1395941010,Heavy Steam (2015),64144,12,4.787491742782046,3.1
Space Race: The Card Game,1461771959,Space Race: The Card Game (2017),63826.81316737,13,4.0943445622221,3
Miskatonic School for Girls,1317914518,Miskatonic School for Girls (2012),63763.51,12,4.0943445622221,1.9184
Hold the Line: The American Revolution,1461425135,Hold the Line: The American Revolution (2016),63539.52,10,4.787491742782046,2
Pocket Odyssey,1399251622,Pocket Odyssey (2014),63412,12,4.787491742782046,2
Valeria: Card Kingdoms,1426003248,Valeria: Card Kingdoms (2016),63063,13,3.8066624897703196,1.9348
Belle of the Ball,1377274842,Belle of the Ball (2014),62983.27,13,3.8066624897703196,1.5
Nova Cry,1421679824,Nova Cry (2016),62716,12,4.499809670330265,1.5
Wizard's Academy,1426698035,Wizard's Academy (2016),62701.8037371,12,5.19295685089021,3.3333
Eminent Domain: Microcosm,1412790402,Eminent Domain: Microcosm (2014),61915.07,13,2.70805020110221,1.9
Amerigo,1367950943,Amerigo (2013),61193,10,4.499809670330265,3
Kiwetin,1484663612,Kiwetin (2017),61159.03303119,7,2.995732273553991,1.75
Incredible Expeditions: Quest for Atlantis,1375390101,Incredible Expeditions: Quest for Atlantis (2015),61152.01,12,4.787491742782046,2.6923
Shipwrights of the North Sea,1392170031,Shipwrights of the North Sea (2014),60986.3022663134,10,4.0943445622221,2.3721
Penny Press,1402421400,Penny Press (2015),60376.04,13,4.0943445622221,2.2333
The Convicted,1391022071,The Convicted (2014),60185,12,6.802394763324311,3.8462
Epic Dice Tower Defense,1472521534,Epic Dice Tower Defense (2016),60033,8,3.6888794541139363,2.5
Orcs Orcs Orcs,1410192002,Orcs Orcs Orcs (2014),59861,13,3.8066624897703196,2
Draconis Invasion,1447360538,Draconis Invasion (2016),59493.01614138,14,4.499809670330265,2.4286
A Duel Betwixt Us,1375265716,A Duel Betwixt Us (2014),59296.52,10,3.8066624897703196,1.6667
The Perfect Heist,1348087509,The Perfect Heist (2013),59251.99,14,4.0943445622221,2.25
VivaJava: The Coffee Game: The Dice Game,1371812460,VivaJava: The Coffee Game: The Dice Game (2014),59186.44,10,3.6888794541139363,1.7656
Herbaceous,1471954242,Herbaceous (2017),59032.53,8,2.995732273553991,1.2222
Something Different,1370754002,Something Different (2013),58766.58,13,3.4011973816621555,1.3333
The Goonies: Adventure Card Game,1458655994,The Goonies: Adventure Card Game (2016),58382,14,3.8066624897703196,1.6
Canterbury,1367379664,Canterbury (2013),58355.5,10,4.499809670330265,3.1
Victory and Glory: Napoleon,1447740154,Victory and Glory: Napoleon (2017),57782,10,5.886104031450156,3
